"";"data";"rating";"vertice";"valor";"indexador"
"97";2020-05-31;"AAA";"7";2,7233;"DI+"
"98";2020-05-31;"AAA";"8";2,7876;"DI+"
"99";2020-05-31;"AAA";"9";2,8393;"DI+"
"100";2020-05-31;"AAA";"10";2,8817;"DI+"
"101";2020-05-31;"AAA";"11";2,9169;"DI+"
"102";2020-05-31;"AAA";"12";2,9464;"DI+"
"103";2020-05-31;"AAA";"13";2,9716;"DI+"
"104";2020-05-31;"AAA";"14";2,9932;"DI+"
"105";2020-05-31;"AAA";"15";3,012;"DI+"
"106";2020-06-30;"AAA";"1";1,6567;"DI+"
"107";2020-06-30;"AAA";"2";1,9474;"DI+"
"108";2020-06-30;"AAA";"3";2,0898;"DI+"
"109";2020-06-30;"AAA";"4";2,1691;"DI+"
"110";2020-06-30;"AAA";"5";2,2181;"DI+"
"111";2020-06-30;"AAA";"6";2,2511;"DI+"
"112";2020-06-30;"AAA";"7";2,2748;"DI+"
"113";2020-06-30;"AAA";"8";2,2925;"DI+"
"114";2020-06-30;"AAA";"9";2,3063;"DI+"
"115";2020-06-30;"AAA";"10";2,3173;"DI+"
"116";2020-06-30;"AAA";"11";2,3263;"DI+"
"117";2020-06-30;"AAA";"12";2,3339;"DI+"
"118";2020-06-30;"AAA";"13";2,3402;"DI+"
"119";2020-06-30;"AAA";"14";2,3457;"DI+"
"120";2020-06-30;"AAA";"15";2,3504;"DI+"
"121";2020-07-31;"AAA";"1";1,6672;"DI+"
"122";2020-07-31;"AAA";"2";1,9193;"DI+"
"123";2020-07-31;"AAA";"3";2,0241;"DI+"
"124";2020-07-31;"AAA";"4";2,0785;"DI+"
"125";2020-07-31;"AAA";"5";2,1113;"DI+"
"126";2020-07-31;"AAA";"6";2,1332;"DI+"
"127";2020-07-31;"AAA";"7";2,1488;"DI+"
"128";2020-07-31;"AAA";"8";2,1606;"DI+"
"129";2020-07-31;"AAA";"9";2,1697;"DI+"
"130";2020-07-31;"AAA";"10";2,177;"DI+"
"131";2020-07-31;"AAA";"11";2,183;"DI+"
"132";2020-07-31;"AAA";"12";2,1879;"DI+"
"133";2020-07-31;"AAA";"13";2,1921;"DI+"
"134";2020-07-31;"AAA";"14";2,1957;"DI+"
"135";2020-07-31;"AAA";"15";2,1989;"DI+"
"136";2020-08-31;"AAA";"1";1,7223;"DI+"
"137";2020-08-31;"AAA";"2";1,9291;"DI+"
"138";2020-08-31;"AAA";"3";2,0051;"DI+"
"139";2020-08-31;"AAA";"4";2,0433;"DI+"
"140";2020-08-31;"AAA";"5";2,0663;"DI+"
"141";2020-08-31;"AAA";"6";2,0816;"DI+"
"142";2020-08-31;"AAA";"7";2,0925;"DI+"
"143";2020-08-31;"AAA";"8";2,1007;"DI+"
"144";2020-08-31;"AAA";"9";2,1071;"DI+"
"145";2020-08-31;"AAA";"10";2,1122;"DI+"
"146";2020-08-31;"AAA";"11";2,1164;"DI+"
"147";2020-08-31;"AAA";"12";2,1199;"DI+"
"148";2020-08-31;"AAA";"13";2,1228;"DI+"
"149";2020-08-31;"AAA";"14";2,1253;"DI+"
"150";2020-08-31;"AAA";"15";2,1275;"DI+"
"151";2020-09-30;"AAA";"1";1,6872;"DI+"
"152";2020-09-30;"AAA";"2";1,9567;"DI+"
"153";2020-09-30;"AAA";"3";2,071;"DI+"
"154";2020-09-30;"AAA";"4";2,1307;"DI+"
"155";2020-09-30;"AAA";"5";2,1667;"DI+"
"156";2020-09-30;"AAA";"6";2,1908;"DI+"
"157";2020-09-30;"AAA";"7";2,208;"DI+"
"158";2020-09-30;"AAA";"8";2,2209;"DI+"
"159";2020-09-30;"AAA";"9";2,231;"DI+"
"160";2020-09-30;"AAA";"10";2,239;"DI+"
"161";2020-09-30;"AAA";"11";2,2456;"DI+"
"162";2020-09-30;"AAA";"12";2,251;"DI+"
"163";2020-09-30;"AAA";"13";2,2557;"DI+"
"164";2020-09-30;"AAA";"14";2,2596;"DI+"
"165";2020-09-30;"AAA";"15";2,2631;"DI+"
"166";2020-10-31;"AAA";"1";1,5108;"DI+"
"167";2020-10-31;"AAA";"2";1,8118;"DI+"
"168";2020-10-31;"AAA";"3";1,9901;"DI+"
"169";2020-10-31;"AAA";"4";2,102;"DI+"
"170";2020-10-31;"AAA";"5";2,1762;"DI+"
"171";2020-10-31;"AAA";"6";2,2279;"DI+"
"172";2020-10-31;"AAA";"7";2,2657;"DI+"
"173";2020-10-31;"AAA";"8";2,2942;"DI+"
"174";2020-10-31;"AAA";"9";2,3165;"DI+"
"175";2020-10-31;"AAA";"10";2,3344;"DI+"
"176";2020-10-31;"AAA";"11";2,349;"DI+"
"177";2020-10-31;"AAA";"12";2,3612;"DI+"
"178";2020-10-31;"AAA";"13";2,3715;"DI+"
"179";2020-10-31;"AAA";"14";2,3804;"DI+"
"180";2020-10-31;"AAA";"15";2,388;"DI+"
"181";2020-11-30;"AAA";"1";1,4767;"DI+"
"182";2020-11-30;"AAA";"2";1,7584;"DI+"
"183";2020-11-30;"AAA";"3";1,8963;"DI+"
"184";2020-11-30;"AAA";"4";1,973;"DI+"
"185";2020-11-30;"AAA";"5";2,0204;"DI+"
"186";2020-11-30;"AAA";"6";2,0523;"DI+"
"187";2020-11-30;"AAA";"7";2,0752;"DI+"
"188";2020-11-30;"AAA";"8";2,0923;"DI+"
"189";2020-11-30;"AAA";"9";2,1057;"DI+"
"190";2020-11-30;"AAA";"10";2,1163;"DI+"
"191";2020-11-30;"AAA";"11";2,1251;"DI+"
"192";2020-11-30;"AAA";"12";2,1324;"DI+"
"193";2020-11-30;"AAA";"13";2,1385;"DI+"
"194";2020-11-30;"AAA";"14";2,1438;"DI+"
"195";2020-11-30;"AAA";"15";2,1484;"DI+"
"196";2020-12-31;"AAA";"1";1,4397;"DI+"
"197";2020-12-31;"AAA";"2";1,6809;"DI+"
"198";2020-12-31;"AAA";"3";1,7981;"DI+"
"199";2020-12-31;"AAA";"4";1,863;"DI+"
"200";2020-12-31;"AAA";"5";1,9031;"DI+"
"201";2020-12-31;"AAA";"6";1,9301;"DI+"
"202";2020-12-31;"AAA";"7";1,9494;"DI+"
"203";2020-12-31;"AAA";"8";1,9639;"DI+"
"204";2020-12-31;"AAA";"9";1,9752;"DI+"
"205";2020-12-31;"AAA";"10";1,9842;"DI+"
"206";2020-12-31;"AAA";"11";1,9915;"DI+"
"207";2020-12-31;"AAA";"12";1,9977;"DI+"
"208";2020-12-31;"AAA";"13";2,0029;"DI+"
"209";2020-12-31;"AAA";"14";2,0073;"DI+"
"210";2020-12-31;"AAA";"15";2,0112;"DI+"
"211";2021-01-31;"AAA";"1";1,4207;"DI+"
"212";2021-01-31;"AAA";"2";1,6114;"DI+"
"213";2021-01-31;"AAA";"3";1,7218;"DI+"
"214";2021-01-31;"AAA";"4";1,7898;"DI+"
"215";2021-01-31;"AAA";"5";1,8344;"DI+"
"216";2021-01-31;"AAA";"6";1,8653;"DI+"
"217";2021-01-31;"AAA";"7";1,8878;"DI+"
"218";2021-01-31;"AAA";"8";1,9047;"DI+"
"219";2021-01-31;"AAA";"9";1,918;"DI+"
"220";2021-01-31;"AAA";"10";1,9285;"DI+"
"221";2021-01-31;"AAA";"11";1,9372;"DI+"
"222";2021-01-31;"AAA";"12";1,9444;"DI+"
"223";2021-01-31;"AAA";"13";1,9506;"DI+"
"224";2021-01-31;"AAA";"14";1,9558;"DI+"
"225";2021-01-31;"AAA";"15";1,9603;"DI+"
"226";2021-02-28;"AAA";"1";1,2224;"DI+"
"227";2021-02-28;"AAA";"2";1,5098;"DI+"
"228";2021-02-28;"AAA";"3";1,6688;"DI+"
"229";2021-02-28;"AAA";"4";1,7639;"DI+"
"230";2021-02-28;"AAA";"5";1,8251;"DI+"
"231";2021-02-28;"AAA";"6";1,8671;"DI+"
"232";2021-02-28;"AAA";"7";1,8973;"DI+"
"233";2021-02-28;"AAA";"8";1,9201;"DI+"
"234";2021-02-28;"AAA";"9";1,9379;"DI+"
"235";2021-02-28;"AAA";"10";1,9521;"DI+"
"236";2021-02-28;"AAA";"11";1,9637;"DI+"
"237";2021-02-28;"AAA";"12";1,9734;"DI+"
"238";2021-02-28;"AAA";"13";1,9816;"DI+"
"239";2021-02-28;"AAA";"14";1,9886;"DI+"
"240";2021-02-28;"AAA";"15";1,9947;"DI+"
"241";2021-03-31;"AAA";"1";1,2871;"DI+"
"242";2021-03-31;"AAA";"2";1,5168;"DI+"
"243";2021-03-31;"AAA";"3";1,6474;"DI+"
"244";2021-03-31;"AAA";"4";1,7271;"DI+"
"245";2021-03-31;"AAA";"5";1,779;"DI+"
"246";2021-03-31;"AAA";"6";1,8147;"DI+"
"247";2021-03-31;"AAA";"7";1,8407;"DI+"
"248";2021-03-31;"AAA";"8";1,8602;"DI+"
"249";2021-03-31;"AAA";"9";1,8754;"DI+"
"250";2021-03-31;"AAA";"10";1,8876;"DI+"
"251";2021-03-31;"AAA";"11";1,8976;"DI+"
"252";2021-03-31;"AAA";"12";1,9059;"DI+"
"253";2021-03-31;"AAA";"13";1,913;"DI+"
"254";2021-03-31;"AAA";"14";1,919;"DI+"
"255";2021-03-31;"AAA";"15";1,9242;"DI+"
"256";2021-04-30;"AAA";"1";1,206;"DI+"
"257";2021-04-30;"AAA";"2";1,385;"DI+"
"258";2021-04-30;"AAA";"3";1,5125;"DI+"
"259";2021-04-30;"AAA";"4";1,6051;"DI+"
"260";2021-04-30;"AAA";"5";1,6738;"DI+"
"261";2021-04-30;"AAA";"6";1,7259;"DI+"
"262";2021-04-30;"AAA";"7";1,766;"DI+"
"263";2021-04-30;"AAA";"8";1,7977;"DI+"
"264";2021-04-30;"AAA";"9";1,823;"DI+"
"265";2021-04-30;"AAA";"10";1,8437;"DI+"
"266";2021-04-30;"AAA";"11";1,8608;"DI+"
"267";2021-04-30;"AAA";"12";1,8752;"DI+"
"268";2021-04-30;"AAA";"13";1,8874;"DI+"
"269";2021-04-30;"AAA";"14";1,8979;"DI+"
"270";2021-04-30;"AAA";"15";1,907;"DI+"
"271";2021-05-31;"AAA";"1";1,2426;"DI+"
"272";2021-05-31;"AAA";"2";1,4679;"DI+"
"273";2021-05-31;"AAA";"3";1,5735;"DI+"
"274";2021-05-31;"AAA";"4";1,6309;"DI+"
"275";2021-05-31;"AAA";"5";1,6662;"DI+"
"276";2021-05-31;"AAA";"6";1,6898;"DI+"
"277";2021-05-31;"AAA";"7";1,7066;"DI+"
"278";2021-05-31;"AAA";"8";1,7193;"DI+"
"279";2021-05-31;"AAA";"9";1,7292;"DI+"
"280";2021-05-31;"AAA";"10";1,737;"DI+"
"281";2021-05-31;"AAA";"11";1,7435;"DI+"
"282";2021-05-31;"AAA";"12";1,7489;"DI+"
"283";2021-05-31;"AAA";"13";1,7534;"DI+"
"284";2021-05-31;"AAA";"14";1,7573;"DI+"
"285";2021-05-31;"AAA";"15";1,7607;"DI+"
"286";2021-06-30;"AAA";"1";1,1577;"DI+"
"287";2021-06-30;"AAA";"2";1,3475;"DI+"
"288";2021-06-30;"AAA";"3";1,4661;"DI+"
"289";2021-06-30;"AAA";"4";1,5436;"DI+"
"290";2021-06-30;"AAA";"5";1,5964;"DI+"
"291";2021-06-30;"AAA";"6";1,6339;"DI+"
"292";2021-06-30;"AAA";"7";1,6616;"DI+"
"293";2021-06-30;"AAA";"8";1,6827;"DI+"
